;id;start_date ;deposit;balance;loan;loan_type;requested_amount;granted_amount;action;SM_account_number;SM_friends;SM_tags;SM_likes
92;92;2017-02-02;1;1200;0;;NA;NA;0;2;104;1;1
93;93;2017-09-21;1;0;0;;NA;NA;0;2;68;4;4
94;94;2017-01-14;1;0;0;;NA;NA;0;3;537;0;0
95;95;2017-06-09;0;NA;1;karta kredytowa;2600;2600;1;1;157;0;0
96;96;2017-08-26;1;3900;0;;NA;NA;0;3;596;3;2
97;97;2017-08-30;1;1820;1;kredyt ratalny;2300;2070;0;2;199;5;3
98;98;2017-02-16;1;1500;0;;NA;NA;0;1;113;2;11
99;99;2017-11-19;1;0;1;kredyt ratalny;400;400;0;2;74;0;0
100;100;2017-04-10;1;1210;0;;NA;NA;0;1;137;1;2
101;101;2017-06-24;1;3570;1;karta kredytowa;2200;2200;1;1;169;5;12
102;102;2017-12-14;1;1600;1;limit w koncie;1800;1800;0;2;121;2;4
103;103;2017-09-02;1;3070;0;;NA;NA;0;3;576;2;1
104;104;2017-01-17;1;5700;0;;NA;NA;0;3;666;5;2
105;105;2017-09-07;1;4710;0;;NA;NA;1;2;282;3;2
106;106;2017-05-22;1;210;0;;NA;NA;0;1;223;0;0
107;107;2017-12-30;1;0;0;;NA;NA;0;2;164;2;3
108;108;2017-06-12;1;710;0;;NA;NA;0;3;346;1;3
109;109;2017-02-18;1;0;0;;NA;NA;0;3;548;2;14
110;110;2017-01-29;1;1420;0;;NA;NA;0;4;464;2;5
111;111;2017-08-22;1;3550;0;;NA;NA;1;1;178;2;1
112;112;2017-09-29;1;5450;0;;NA;NA;1;1;151;3;50
113;113;2017-11-14;0;NA;1;karta kredytowa;2900;2900;0;3;533;0;0
114;114;2017-09-14;0;NA;1;karta kredytowa;1000;1000;0;2;257;4;3
115;115;2017-05-22;1;0;1;kredyt ratalny;300;300;0;3;652;0;0
116;116;2017-07-26;1;0;0;;NA;NA;0;2;228;13;1
117;117;2017-02-27;1;0;0;;NA;NA;0;3;567;0;0
118;118;2017-06-04;1;7180;0;;NA;NA;1;1;165;7;4
119;119;2017-06-07;1;680;0;;NA;NA;1;2;61;1;8
120;120;2017-04-22;0;NA;1;karta kredytowa;1600;1600;0;3;489;0;0
121;121;2017-11-22;1;1620;0;;NA;NA;0;4;553;4;1
122;122;2017-05-06;0;NA;1;kredyt ratalny;1700;1360;0;1;51;0;0
123;123;2017-07-29;1;0;0;;NA;NA;0;3;483;1;1
124;124;2017-01-03;1;4820;0;;NA;NA;0;2;70;5;4
125;125;2017-12-26;1;1600;0;;NA;NA;0;2;49;1;2
126;126;2017-04-12;1;1980;0;;NA;NA;0;2;162;2;4
127;127;2017-04-01;1;6640;0;;900;NA;0;2;82;6;3
128;128;2017-10-12;1;5680;0;;NA;NA;0;4;559;5;6
129;129;2017-04-26;1;2340;1;karta kredytowa;1400;1400;0;3;392;2;11
130;130;2017-07-15;1;0;0;;400;NA;0;2;132;0;0
131;131;2017-03-12;0;NA;1;karta kredytowa;2900;2900;0;4;677;1;15
132;132;2017-09-05;1;0;0;;NA;NA;1;2;12;1;9
133;133;2017-01-11;1;1790;0;;NA;NA;0;1;159;2;2
134;134;2017-06-16;1;950;0;;1800;NA;0;3;492;0;0
135;135;2017-04-27;1;310;0;;NA;NA;1;2;47;0;0
136;136;2017-01-25;1;1420;0;;NA;NA;0;2;47;2;3
137;137;2017-01-15;1;4870;0;;NA;NA;0;3;537;4;5
138;138;2017-12-29;1;0;0;;NA;NA;0;3;536;0;0
139;139;2017-07-30;1;7040;0;;NA;NA;0;1;85;7;1
140;140;2017-07-26;1;0;0;;3900;NA;0;3;516;3;1
141;141;2017-02-13;0;NA;1;karta kredytowa;1000;1000;0;2;147;3;2
142;142;2017-08-29;1;0;1;karta kredytowa;1500;1500;0;2;83;0;0
143;143;2017-01-30;1;1310;0;;NA;NA;0;2;24;1;1
144;144;2017-08-14;1;0;0;;NA;NA;1;2;50;22;5
145;145;2017-08-30;1;1160;0;;NA;NA;0;3;601;3;16
146;146;2017-06-10;1;1760;0;;NA;NA;0;1;66;1;7
147;147;2017-04-09;1;2400;0;;NA;NA;0;3;517;2;2
148;148;2017-03-22;1;830;1;kredyt ratalny;900;900;0;3;455;1;3
149;149;2017-12-07;1;2480;1;kredyt ratalny;700;700;0;3;492;3;3
150;150;2017-04-22;1;0;0;;NA;NA;0;2;243;0;0
151;151;2017-03-16;1;6330;1;limit w koncie;2100;2100;0;2;183;7;13
152;152;2017-02-07;1;840;0;;NA;NA;0;3;506;0;0
153;153;2017-02-10;1;3680;0;;NA;NA;0;3;495;4;2
154;154;2017-05-17;1;480;0;;NA;NA;1;1;82;1;0
155;155;2017-01-05;0;NA;1;kredyt ratalny;700;700;0;4;500;0;0
156;156;2017-09-26;1;0;0;;NA;NA;0;3;541;2;4
157;157;2017-12-28;1;6060;0;;NA;NA;1;1;178;6;3
158;158;2017-04-17;1;0;0;;NA;NA;0;2;50;1;1
159;159;2017-10-10;1;850;0;;NA;NA;0;3;745;1;2
160;160;2017-10-22;1;5850;0;;NA;NA;0;3;435;6;10
161;161;2017-06-01;1;1060;0;;NA;NA;0;2;135;3;3
162;162;2017-12-10;1;6280;0;;NA;NA;0;1;121;6;4
163;163;2017-06-15;1;3490;1;kredyt ratalny;400;400;1;2;133;4;2
164;164;2017-06-15;1;1890;0;;NA;NA;1;2;132;7;2
165;165;2017-10-24;1;7930;0;;NA;NA;0;3;433;6;28
166;166;2017-07-23;1;0;0;;NA;NA;0;1;29;0;0
167;167;2017-07-16;1;0;0;;1500;NA;0;2;32;0;0
168;168;2017-08-30;1;3640;0;;NA;NA;0;1;112;6;3
169;169;2017-07-01;1;1490;0;;NA;NA;0;3;448;1;25
170;170;2017-11-28;1;2970;0;;NA;NA;0;1;106;4;1
171;171;2017-05-10;0;NA;1;karta kredytowa;5000;5000;0;3;607;3;3
172;172;2017-02-24;1;5290;0;;NA;NA;0;2;116;5;5
173;173;2017-09-03;1;2700;1;kredyt ratalny;300;300;0;3;466;4;16
174;174;2017-06-27;1;0;0;;NA;NA;0;3;546;0;0
175;175;2017-12-12;1;2990;0;;1400;NA;0;4;576;2;4
176;176;2017-11-03;1;2900;0;;NA;NA;1;2;110;3;3
177;177;2017-01-06;1;0;0;;NA;NA;0;1;123;0;0
178;178;2017-10-10;1;0;0;;NA;NA;0;2;35;3;1
179;179;2017-01-03;1;170;0;;NA;NA;1;1;142;0;0
180;180;2017-12-07;1;1420;1;karta kredytowa;5900;5900;0;2;45;1;1
181;181;2017-12-16;0;NA;1;karta kredytowa;3000;3000;0;3;546;0;0
182;182;2017-04-22;1;3930;0;;NA;NA;0;2;12;3;4
183;183;2017-05-30;1;4650;0;;NA;NA;0;2;143;4;2
184;184;2017-03-14;0;NA;1;kredyt ratalny;300;300;0;3;546;1;4
185;185;2017-10-09;1;3010;0;;NA;NA;0;3;410;3;129
186;186;2017-02-06;1;0;0;;NA;NA;0;2;158;0;0
187;187;2017-03-06;1;6620;0;;NA;NA;0;1;243;7;4
188;188;2017-10-18;1;1060;1;limit w koncie;1900;1900;1;2;12;1;0
189;189;2017-10-13;1;0;0;;NA;NA;0;3;633;1;74
190;190;2017-04-02;1;3000;0;;NA;NA;0;3;723;1;3
191;191;2017-12-08;1;6840;0;;NA;NA;1;2;207;7;4
192;192;2017-07-15;1;5010;0;;NA;NA;1;1;70;7;4
193;193;2017-07-31;1;0;0;;NA;NA;0;2;78;0;0
194;194;2017-07-17;1;6190;0;;NA;NA;1;1;260;6;5
195;195;2017-07-14;1;3610;0;;NA;NA;0;3;559;4;5
196;196;2017-01-01;0;NA;1;kredyt ratalny;600;600;0;3;505;52;2
197;197;2017-07-14;1;0;0;;NA;NA;0;3;542;0;0
198;198;2017-10-10;1;0;0;;NA;NA;0;4;533;37;4
199;199;2017-02-14;0;NA;1;kredyt ratalny;600;600;0;2;77;1;39
200;200;2017-09-20;1;1880;0;;NA;NA;0;2;9;2;12
201;201;2017-03-20;1;0;0;;NA;NA;0;2;7;0;0
202;202;2017-03-03;1;6640;0;;NA;NA;1;2;146;7;0
203;203;2017-11-21;1;2740;1;kredyt ratalny;700;700;0;3;397;4;2
204;204;2017-07-02;1;0;1;limit w koncie;1700;1700;0;4;475;0;0
205;205;2017-06-29;1;3770;0;;NA;NA;0;3;568;4;5
206;206;2017-10-15;1;1290;0;;NA;NA;0;1;111;1;5
207;207;2017-09-26;0;NA;1;karta kredytowa;2200;2200;0;3;577;0;0
208;208;2017-10-19;1;890;0;;NA;NA;0;3;599;2;1
209;209;2017-05-06;1;150;0;;NA;NA;0;2;257;0;0
210;210;2017-06-27;0;NA;1;kredyt ratalny;700;700;0;3;460;6;2
211;211;2017-12-22;0;NA;1;kredyt ratalny;700;700;0;3;512;1;6
212;212;2017-02-16;1;1210;0;;NA;NA;0;3;561;1;6
213;213;2017-09-13;0;NA;1;kredyt ratalny;3600;3240;0;3;468;1;4
214;214;2017-12-21;0;NA;1;kredyt ratalny;2200;1760;0;2;28;1;3
215;215;2017-07-29;0;NA;1;kredyt ratalny;500;500;0;1;169;15;1
216;216;2017-02-03;1;3580;0;;NA;NA;0;1;124;3;27
217;217;2017-01-10;1;0;1;kredyt ratalny;700;700;0;4;519;0;0
218;218;2017-10-28;1;6990;0;;NA;NA;0;3;375;6;2
219;219;2017-11-09;0;NA;1;karta kredytowa;1200;1200;0;2;21;0;0
220;220;2017-11-24;1;1100;0;;700;NA;0;2;40;1;2
221;221;2017-03-19;1;270;0;;NA;NA;0;3;584;0;0
222;222;2017-04-27;1;2220;0;;NA;NA;1;2;65;2;2
223;223;2017-11-13;0;NA;1;karta kredytowa;6300;6300;0;1;175;5;38
224;224;2017-10-13;0;NA;1;kredyt ratalny;800;800;0;3;538;0;0
225;225;2017-10-31;1;160;0;;NA;NA;0;2;113;0;0
226;226;2017-11-30;1;1070;1;karta kredytowa;3400;3400;0;3;550;1;4
227;227;2017-07-06;1;9860;0;;NA;NA;1;1;199;10;9
228;228;2017-11-22;1;0;0;;1100;NA;0;4;513;0;0
229;229;2017-05-01;0;NA;1;karta kredytowa;2000;2000;0;3;532;1;0
230;230;2017-06-28;1;0;0;;NA;NA;0;2;9;0;0
231;231;2017-03-09;1;4180;0;;NA;NA;0;3;582;4;4
232;232;2017-06-24;1;2140;0;;NA;NA;0;2;58;2;14
233;233;2017-11-28;1;2250;1;karta kredytowa;5200;5200;0;1;174;1;6
234;234;2017-08-20;1;0;0;;NA;NA;0;1;87;0;0
235;235;2017-03-21;0;NA;1;kredyt ratalny;2900;2610;0;4;579;0;0
236;236;2017-08-17;1;0;0;;1200;NA;0;3;506;0;0
237;237;2017-11-04;0;NA;1;kredyt ratalny;300;300;0;3;520;0;0
238;238;2017-08-12;1;3410;0;;NA;NA;0;4;506;2;10
239;239;2017-06-10;1;0;0;;NA;NA;0;3;607;0;0
240;240;2017-10-01;1;2130;0;;NA;NA;1;1;26;2;3
241;241;2017-06-25;1;3200;0;;600;NA;0;1;72;3;6
242;242;2017-03-28;1;2910;0;;1100;NA;0;1;132;2;3
243;243;2017-11-23;1;2460;0;;NA;NA;0;4;478;2;1
244;244;2017-04-21;1;5910;0;;NA;NA;0;3;506;6;1
245;245;2017-04-15;0;NA;1;karta kredytowa;1100;1100;0;3;484;3;2
246;246;2017-11-08;1;1780;0;;NA;NA;0;1;112;2;5
247;247;2017-12-24;1;3630;0;;NA;NA;0;1;183;3;3
248;248;2017-10-24;1;1720;0;;NA;NA;1;2;229;2;78
249;249;2017-02-07;1;8360;0;;NA;NA;1;2;176;10;4
250;250;2017-09-04;0;NA;1;kredyt ratalny;1800;1440;0;2;70;2;14
251;251;2017-12-30;1;0;1;limit w koncie;2100;2100;0;4;479;0;0
252;252;2017-03-21;1;540;1;karta kredytowa;1000;1000;0;3;474;5;2
253;253;2017-06-18;1;3570;0;;NA;NA;0;4;634;5;1
254;254;2017-06-16;0;NA;1;karta kredytowa;4200;4200;0;4;499;1;3
255;255;2017-06-18;1;6920;0;;1000;NA;0;1;50;8;3
256;256;2017-04-26;0;NA;1;kredyt ratalny;400;400;0;3;494;56;1
257;257;2017-10-29;1;9150;1;kredyt ratalny;300;300;0;4;591;8;5
258;258;2017-08-27;1;6540;0;;NA;NA;0;1;39;7;0
259;259;2017-07-13;1;1270;0;;NA;NA;0;2;10;1;258
260;260;2017-09-09;1;4930;0;;NA;NA;1;1;294;6;1
261;261;2017-07-16;1;830;0;;NA;NA;0;3;605;1;2
262;262;2017-01-25;1;2730;1;limit w koncie;1200;1200;0;2;209;2;3
263;263;2017-01-05;1;7870;0;;NA;NA;0;2;190;7;3
264;264;2017-10-16;0;NA;1;kredyt ratalny;2400;1920;0;3;602;0;0
265;265;2017-07-14;1;0;1;limit w koncie;1100;1100;0;3;595;0;0
266;266;2017-08-19;1;5920;0;;NA;NA;0;4;556;3;3
267;267;2017-04-12;1;0;0;;NA;NA;0;2;114;0;0
268;268;2017-12-17;1;3150;0;;NA;NA;1;2;310;2;2
269;269;2017-06-25;1;7640;0;;NA;NA;0;3;485;5;2
270;270;2017-12-19;0;NA;1;kredyt ratalny;600;600;0;3;548;44;3
271;271;2017-06-15;1;0;0;;NA;NA;0;3;509;2;17
272;272;2017-02-26;1;5460;0;;NA;NA;0;2;91;5;22
273;273;2017-03-06;1;0;0;;NA;NA;0;1;200;3;0
274;274;2017-07-07;1;350;0;;NA;NA;1;2;150;0;0
275;275;2017-10-25;1;4410;1;karta kredytowa;1400;1400;0;3;566;5;7
276;276;2017-03-09;1;490;0;;NA;NA;0;1;26;0;0
277;277;2017-08-29;1;650;0;;3900;NA;1;2;132;0;0
278;278;2017-10-03;1;1930;0;;NA;NA;0;3;541;1;35
279;279;2017-07-22;1;0;0;;NA;NA;1;2;69;8;5
280;280;2017-07-06;1;0;0;;NA;NA;0;4;574;1;65
281;281;2017-02-23;1;0;0;;NA;NA;0;3;453;0;0
282;282;2017-04-15;1;1950;0;;NA;NA;1;2;45;1;1
283;283;2017-11-03;1;860;0;;NA;NA;0;3;603;0;0
284;284;2017-02-11;1;2080;0;;NA;NA;0;2;122;0;0
285;285;2017-12-17;1;4830;0;;NA;NA;0;3;575;4;2
286;286;2017-09-14;1;0;0;;NA;NA;0;2;187;0;0
287;287;2017-11-27;1;4390;0;;NA;NA;0;1;101;3;3
288;288;2017-01-17;1;0;1;karta kredytowa;3400;3400;1;2;121;0;0
289;289;2017-02-16;1;6190;0;;NA;NA;1;1;7;3;3
290;290;2017-07-31;1;0;0;;NA;NA;0;2;189;0;0
291;291;2017-10-06;1;0;0;;NA;NA;1;1;252;0;0
292;292;2017-02-11;1;1720;0;;800;NA;0;3;578;1;5
293;293;2017-02-15;1;3180;0;;NA;NA;0;1;88;3;10
294;294;2017-10-11;1;80;1;karta kredytowa;2000;2000;0;3;481;1;5
295;295;2017-10-04;1;2530;0;;NA;NA;0;1;164;2;1
296;296;2017-05-20;1;6580;0;;NA;NA;0;1;14;8;89
297;297;2017-10-29;1;2930;0;;NA;NA;0;1;87;3;3
298;298;2017-07-27;1;0;0;;NA;NA;0;4;455;0;0
299;299;2017-10-19;0;NA;1;karta kredytowa;1000;1000;0;3;385;1;3
300;300;2017-12-28;0;NA;1;kredyt ratalny;700;700;0;2;63;1;4
301;301;2017-12-10;0;NA;1;karta kredytowa;1200;1200;0;1;100;0;0
302;302;2017-08-25;1;6250;0;;NA;NA;0;3;459;6;8
303;303;2017-08-19;1;7380;0;;NA;NA;0;1;170;7;2
304;304;2017-06-25;1;0;0;;NA;NA;0;3;586;0;0
305;305;2017-03-25;1;6040;0;;NA;NA;0;3;502;5;1
306;306;2017-08-03;1;3460;0;;NA;NA;0;2;131;3;0
307;307;2017-04-04;1;5030;0;;NA;NA;1;3;432;5;3
308;308;2017-02-04;1;4270;0;;NA;NA;1;1;222;4;111
309;309;2017-02-07;1;4910;1;kredyt ratalny;800;800;0;1;57;4;4
310;310;2017-06-09;1;0;1;limit w koncie;2400;2400;1;2;364;2;0
311;311;2017-01-09;1;790;0;;NA;NA;0;2;150;0;0
312;312;2017-09-19;1;2000;1;karta kredytowa;3000;3000;0;3;443;1;2
313;313;2017-12-27;1;3120;0;;NA;NA;0;2;70;3;0
314;314;2017-11-18;1;4170;1;karta kredytowa;1000;1000;1;1;259;4;0
315;315;2017-12-08;0;NA;1;karta kredytowa;1100;1100;0;2;267;16;2
316;316;2017-06-01;1;9590;0;;NA;NA;0;3;565;11;2
317;317;2017-11-10;0;NA;1;kredyt ratalny;700;700;0;3;514;1;3
318;318;2017-07-30;1;0;0;;800;NA;1;2;37;0;0
319;319;2017-11-05;0;NA;1;karta kredytowa;4000;4000;0;2;202;1;3
320;320;2017-06-24;1;330;0;;NA;NA;0;3;558;0;0
321;321;2017-09-14;1;5430;0;;NA;NA;0;4;516;5;3
322;322;2017-01-12;0;NA;1;karta kredytowa;2300;2300;0;1;126;0;0
323;323;2017-04-27;1;2170;0;;800;NA;0;3;408;2;2
324;324;2017-12-28;1;850;0;;4200;NA;0;2;168;1;4
325;325;2017-11-26;0;NA;1;kredyt ratalny;400;400;0;2;78;2;1
326;326;2017-04-18;0;NA;1;karta kredytowa;2700;2700;1;1;130;0;0
327;327;2017-12-12;0;NA;1;kredyt ratalny;400;400;0;4;500;4;8
328;328;2017-03-15;1;3600;0;;NA;NA;0;2;151;4;3
329;329;2017-12-02;1;1830;1;karta kredytowa;4600;4600;0;3;397;3;1
330;330;2017-08-25;0;NA;1;karta kredytowa;1800;1800;0;4;607;0;0
331;331;2017-04-16;1;0;0;;NA;NA;0;2;41;0;0
332;332;2017-01-17;1;0;1;karta kredytowa;1300;1300;0;3;561;0;0
333;333;2017-11-04;1;200;0;;NA;NA;0;2;46;0;0
334;334;2017-02-15;1;980;0;;NA;NA;0;2;307;5;1
335;335;2017-04-05;1;970;0;;3400;NA;0;4;507;1;0
336;336;2017-11-02;0;NA;1;kredyt ratalny;400;400;0;1;194;0;0
337;337;2017-01-23;1;3930;0;;NA;NA;0;2;169;4;3
338;338;2017-04-01;1;330;0;;NA;NA;0;3;464;8;0
339;339;2017-08-12;1;230;0;;NA;NA;1;1;115;0;0
340;340;2017-05-18;1;0;0;;NA;NA;0;1;16;0;0
341;341;2017-11-28;1;440;0;;NA;NA;0;3;488;0;0
342;342;2017-08-22;1;2450;0;;2300;NA;0;3;548;1;2
343;343;2017-03-23;1;730;1;limit w koncie;1000;1000;0;3;569;1;2
344;344;2017-04-27;1;4300;1;limit w koncie;3800;3800;0;1;254;6;6
345;345;2017-08-18;1;1770;0;;NA;NA;0;1;93;1;1
346;346;2017-03-06;1;8940;0;;NA;NA;0;2;172;10;5
347;347;2017-08-24;1;1950;0;;NA;NA;0;3;568;1;5
348;348;2017-07-24;1;2080;1;kredyt ratalny;700;700;0;2;42;1;1
349;349;2017-10-21;1;4430;0;;NA;NA;0;3;563;3;9
350;350;2017-10-14;0;NA;1;karta kredytowa;1300;1300;0;1;135;0;0
351;351;2017-02-20;1;6550;0;;NA;NA;0;2;188;6;9
352;352;2017-02-05;1;12620;0;;NA;NA;0;4;536;13;5
353;353;2017-04-28;1;3030;0;;NA;NA;0;2;195;3;2
354;354;2017-08-23;1;1910;0;;NA;NA;0;4;474;6;3
355;355;2017-04-27;1;6230;0;;NA;NA;1;2;150;6;2
356;356;2017-09-13;1;0;0;;NA;NA;1;2;27;1;7
357;357;2017-11-30;1;6220;1;limit w koncie;3000;3000;0;3;638;5;3
358;358;2017-12-13;0;NA;1;kredyt ratalny;700;700;1;2;26;2;1
359;359;2017-04-15;1;3310;0;;NA;NA;0;1;19;4;0
360;360;2017-11-27;1;3070;0;;NA;NA;0;1;53;4;11
361;361;2017-10-11;0;NA;1;kredyt ratalny;500;500;0;2;64;1;2
362;362;2017-02-05;1;6580;0;;NA;NA;0;2;17;6;1
363;363;2017-03-13;1;3500;0;;800;NA;0;3;464;2;4
364;364;2017-05-07;0;NA;1;kredyt ratalny;900;900;0;3;525;0;0
365;365;2017-07-12;1;7410;1;kredyt ratalny;1500;1350;0;2;24;7;48
366;366;2017-02-02;0;NA;1;karta kredytowa;1200;1200;0;3;518;1;3
367;367;2017-08-27;0;NA;1;karta kredytowa;2000;2000;1;1;18;9;16
368;368;2017-08-18;1;1770;0;;NA;NA;0;3;446;5;3
369;369;2017-07-21;1;4360;1;kredyt ratalny;300;300;0;3;535;4;2
370;370;2017-10-08;1;5640;0;;NA;NA;0;3;470;4;5
371;371;2017-12-18;1;4810;0;;NA;NA;0;2;133;4;1
372;372;2017-06-04;1;0;1;kredyt ratalny;700;700;0;1;27;1;17
373;373;2017-02-06;1;0;0;;NA;NA;0;2;150;9;3
374;374;2017-08-16;1;1880;0;;NA;NA;0;4;470;1;3
375;375;2017-03-17;1;0;0;;NA;NA;1;2;167;0;0
376;376;2017-12-31;1;0;0;;NA;NA;0;4;498;0;0
